Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"3 Hotham Street, Hughesdale VIC 3166",1.341750873,Outer Circle Linear Park,Poor Park,3,1,2,House,750,-37.9001331,145.0785483
"152a Manchester Road, Mooroolbark VIC 3138",5.403589984,Lilydale Memorial Park,Poor Park,4,2,2,House,795,-37.7778108,145.3129382
"27 Windsor Boulevard, Derrimut VIC 3026",4.501970843,Cairnlea Park,Poor Park,5,3,4,House,750,-37.7930081,144.766609
"10 Holloway Street, Newport VIC 3015",3.980818608,Point Gellibrand Coastal Heritage Park,Average Park,3,2,2,House,750,-37.8482535,144.8716424
"4 Hyland Street, Mordialloc VIC 3195",6.011867986,Riverend Park PTY Ltd.,Poor Park,3,2,2,House,790,-38.0029845,145.1025525
"76 Chapel Street, St Kilda VIC 3182",0.746301833,St Kilda Botanical Gardens,Good Park,3,1,1,House,800,-37.8670584,144.9909606
"4 Cambridge Street, Armadale VIC 3143",2.558733031,Grattan Gardens,Poor Park,2,1,0,House,850,-37.8589734,145.0171838
"2 Macfarland Street, Brunswick VIC 3056",2.681752743,Princes Park,Poor Park,3,1,0,House,750,-37.760916,144.959385
"31 Daly Street, Brunswick West VIC 3055",2.507758648,Princes Park,Poor Park,3,1,3,House,850,-37.7670944,144.9439983
"11 Baringhup Street, Cheltenham VIC 3192",8.541320943,Outer Circle Linear Park,Poor Park,4,2,3,House,750,-37.9652028,145.0644432
"23 Arthur Street, Caulfield North VIC 3161",1.889682505,Central Park,Poor Park,3,1,0,House,750,-37.8681416,145.0272738
"14 Corris Street, Yarraville VIC 3013",5.087162503,Altona Memorial Park,Poor Park,3,1,3,House,780,-37.8164193,144.8783612
"59 Melville Park Drive, Berwick VIC 3806",1.859594502,Wilson Botanic Park Berwick,Good Park,5,2,2,House,740,-38.0409145,145.3494807
"1 Hayward Court, Vermont VIC 3133",8.187376595,Wattle Park,Poor Park,4,2,3,House,850,-37.8377974,145.1988625
"35 Merrett Drive, Williamstown VIC 3016",2.73258633,Point Gellibrand Coastal Heritage Park,Average Park,3,2,2,House,775,-37.86131,144.879597
"3 Flynn Terrace, Sandhurst VIC 3977",6.389033974,Riverend Park PTY Ltd.,Poor Park,4,2,2,House,800,-38.080101,145.2047786
"721 Drummond Street, Carlton North VIC 3054",0.850863635,Princes Park,Poor Park,2,1,1,House,825,-37.7878535,144.9703505
"27 Victory Street, Murrumbeena VIC 3163",1.756339886,Outer Circle Linear Park,Poor Park,3,1,1,House,765,-37.903321,145.0659071
"46 King Street, Flinders VIC 3929",1.845657563,Mornington Peninsula National Park,Poor Park,3,2,4,House,750,-38.4749389,145.0101028
"14 Satsuma Avenue, Berwick VIC 3806",5.677822045,Wilson Botanic Park Berwick,Good Park,5,2,2,House,750,-38.075347,145.3595049
"44 Parkstone Avenue, Pascoe Vale South VIC 3044",4.983285677,Princes Park,Poor Park,4,2,7,House,850,-37.7465708,144.9321706
"1A Gresford Road, Wantirna VIC 3152",7.880990122,Kings Park,Poor Park,3,3,2,House,750,-37.8466005,145.2365492
"3 Dixon Street, Malvern VIC 3144",1.131142183,Central Park,Poor Park,2,1,0,House,750,-37.8629477,145.0368707
"267 Waverley Road, Mount Waverley VIC 3149",4.12540273,Outer Circle Linear Park,Poor Park,4,2,2,House,750,-37.883541,145.1201082
"39 Grice Crescent, Essendon VIC 3040",5.530828533,Princes Park,Poor Park,4,1,3,House,800,-37.7486602,144.9183882
"69 Kambrook Rd, Caulfield North VIC 3161",1.591860331,Central Park,Poor Park,3,1,1,House,800,-37.8764291,145.0352087
"70A Darnley Street, Braybrook VIC 3019",5.547894747,Altona Memorial Park,Poor Park,4,4,1,House,800,-37.784703,144.8512534
"11 Hume Street, Armadale VIC 3143",2.618809189,Como House & Garden,Average Park,3,2,1,House,895,-37.8569226,145.0213117
"2 Guildford Drive, Doncaster East VIC 3109",4.113221421,Westerfolds Park,Good Park,4,2,2,House,830,-37.76209,145.1774309
"3 King Street, St Kilda East VIC 3183",1.113094959,St Kilda Botanical Gardens,Good Park,2,1,0,House,745,-37.8637212,144.992843
"3 Mascoma Street, Ascot Vale VIC 3032",2.920414714,Princes Park,Poor Park,2,2,1,House,730,-37.7763101,144.9300091
"4 MACEDON AVENUE, Balwyn North VIC 3104",2.348629399,Yarra Flats Park,Poor Park,4,2,2,House,880,-37.7921584,145.0720122
"11 Boxshall Street, Brighton VIC 3186",2.322047257,Elsternwick Park,Average Park,3,1,2,House,750,-37.9106001,144.9974369
"120 Station Street, Carlton VIC 3053",1.088726937,Edinburgh Gardens,Poor Park,3,1,1,House,900,-37.7946092,144.9746587
"9 Blenheim Avenue, Glen Waverley VIC 3150",8.232727039,Wattle Park,Poor Park,4,2,2,House,750,-37.8799604,145.1832141
"33 Agg Street, Newport VIC 3015",3.920880932,Point Gellibrand Coastal Heritage Park,Average Park,3,2,1,House,710,-37.8436378,144.8771127
"150 Danks Street, Albert Park VIC 3206",3.181060432,Royal Botanic Gardens Victoria - Melbourne Gardens,Good Park,2,1,0,House,850,-37.8473629,144.9511262
"9 Vincent Street, Coburg VIC 3058",4.686209937,Princes Park,Poor Park,4,1,1,House,790,-37.7430574,144.9559442
"167 Oceania Drive, Curlewis VIC 3222",0.930413543,Percy Cherry Park,Poor Park,4,2,2,House,790,-38.1606686,144.5468069
"22 Scarlet Ash Drive, Templestowe Lower VIC 3107",1.807777921,Bimbadeen Park,Poor Park,4,2,2,House,745,-37.7719743,145.1180879
"129 Newry Street, Carlton North VIC 3054",1.008209264,Princes Park,Poor Park,2,1,0,House,795,-37.7898732,144.9710363
"26 Chancellor Drive, Wheelers Hill VIC 3150",7.270149022,Churchill National Park,Average Park,4,2,2,House,710,-37.9151676,145.1824917
"4 Newry Street, Windsor VIC 3181",1.160436945,Grattan Gardens,Poor Park,2,1,0,House,720,-37.8556064,145.0004632
"75 Albion Road, Box Hill VIC 3128",2.646050353,Wattle Park,Poor Park,4,3,1,House,795,-37.824847,145.1304239
"22 Aberdeen Road, Prahran VIC 3181",1.17938695,Grattan Gardens,Poor Park,2,2,1,House,875,-37.8526939,145.0036245
"82 Moonya Road, Carnegie VIC 3163",1.23280933,Outer Circle Linear Park,Poor Park,2,1,1,House,800,-37.8972344,145.0645533
"12 Johnson Street, Richmond VIC 3121",1.724719995,St James Park,Average Park,3,1,0,House,750,-37.8115093,145.004859
"12 Andrew Street, Windsor VIC 3181",0.742154002,Grattan Gardens,Poor Park,3,1,0,House,900,-37.8516249,144.9848124
"566 Waverley Road, Malvern East VIC 3145",1.019999958,Outer Circle Linear Park,Poor Park,3,2,2,House,800,-37.8796637,145.0753595
"15 Packington Pl, Prahran VIC 3181",1.469017808,Grattan Gardens,Poor Park,2,1,0,House,750,-37.8556569,145.0051527
"23 Cromwell Pl, South Yarra VIC 3141",0.635969279,Grattan Gardens,Poor Park,2,1,1,House,785,-37.8471905,144.9989255
"33 Yallambie Road, Macleod VIC 3085",4.112644435,Heide Park,Poor Park,3,2,2,House,799,-37.7196534,145.0847507
"3 Rostrevor Parade, Mont Albert VIC 3127",1.226617362,Minifie Park,Poor Park,5,2,2,House,800,-37.8126697,145.1059346
"95 Cityview Road, Balwyn North VIC 3104",1.839543886,Yarra Flats Park,Poor Park,4,2,3,House,800,-37.7857405,145.0799533
"55 Victory Road, Ashburton VIC 3147",2.797941901,Outer Circle Linear Park,Poor Park,4,2,2,House,900,-37.8675054,145.0906914
"269 Balwyn Road, Balwyn North VIC 3104",1.691287554,Minifie Park,Poor Park,4,2,4,House,850,-37.7923917,145.085066
"7/183 Kooyong Road, Toorak VIC 3142",1.8368115,Como House & Garden,Average Park,2,1,1,House,750,-37.8457417,145.0221265
"30 Cambridge Street, Collingwood VIC 3066",0.693202271,Fitzroy Gardens,Poor Park,3,1,2,House,800,-37.8079589,144.9851596
"26 Aylmer Street, Balwyn North VIC 3104",2.632516816,Minifie Park,Poor Park,3,2,2,House,830,-37.7960341,145.0682477
"41B Kingston Street, Hampton VIC 3188",5.246434176,Elsternwick Park,Average Park,3,2,1,House,790,-37.9345658,145.0130291
"9 Mcdonnell Road, Coburg North VIC 3058",5.418180345,Hayes Park,Poor Park,3,1,2,House,750,-37.7270281,144.9687796
"34 Bayview Street, Prahran VIC 3181",1.239971029,Grattan Gardens,Poor Park,3,2,2,House,850,-37.8522915,145.0046357
"13 Santorini Parade, Berwick VIC 3806",6.153298743,Wilson Botanic Park Berwick,Good Park,4,3,2,House,750,-38.0744098,145.3740916
"28/1 Greg Norman Drive, Point Cook VIC 3030",2.044621007,Altona Green Park,Poor Park,4,2,3,House,850,-37.8927793,144.760908
"46 Moylan Street, Bentleigh East VIC 3165",2.841602655,Outer Circle Linear Park,Poor Park,4,2,2,House,780,-37.9092956,145.0543432
"29 Gordon Street, Traralgon VIC 3844",0.352239974,Traralgon Dog Park,Poor Park,3,2,2,House,800,-38.1914688,146.5350792
"8 Taunton Street, Doncaster East VIC 3109",3.828379193,Westerfolds Park,Good Park,4,2,2,House,750,-37.7766614,145.1563448
"3/15 Wallace Avenue, Oakleigh South VIC 3167",4.243517133,Outer Circle Linear Park,Poor Park,4,2,2,House,750,-37.9188055,145.1033277
"186 Barkly Street, Brunswick VIC 3056",0.98962172,Princes Park,Poor Park,2,1,1,House,795,-37.7769516,144.9662295
"152 West Fyans Street, Newtown VIC 3220",0.769457378,Barwon Valley Park,Average Park,4,2,3,House,845,-38.1583326,144.336243
"1 Beatrix Circuit, Officer VIC 3809",8.201881053,Wilson Botanic Park Berwick,Good Park,4,2,2,House,710,-38.0733898,145.4101117
"75 Hope Street, Brunswick VIC 3056",2.398125904,Princes Park,Poor Park,2,1,1,House,795,-37.763736,144.956688
"56 Golden Grove, Glen Waverley VIC 3150",7.460777355,Wattle Park,Poor Park,3,2,1,House,750,-37.8747041,145.1770734
"61 Railway Parade, Eltham VIC 3095",4.628147031,Westerfolds Park,Good Park,3,2,2,House,800,-37.7065841,145.1489036
"1/139 Ellesmere Parade, Rosanna VIC 3084",3.128884437,Heide Park,Poor Park,4,3,2,House,895,-37.7315869,145.0669644
"23 Condenser Drive, Yarraville VIC 3013",5.4360521,Point Gellibrand Coastal Heritage Park,Average Park,3,2,1,House,770,-37.8217537,144.8888949
"61 Clarendon Street, Thornbury VIC 3071",1.168232628,Hayes Park,Poor Park,2,1,1,House,710,-37.7597409,145.0044527
"53 Stanley Street, Bulleen VIC 3105",1.371171518,Yarra Flats Park,Poor Park,4,2,2,House,730,-37.7755954,145.0847671
"18 Albion Street, Essendon VIC 3040",4.283175664,Princes Park,Poor Park,3,1,1,House,750,-37.7565219,144.9285381
"498 Melbourne Road, Blairgowrie VIC 3942",1.935830576,Blairgowrie Caravan Park,Poor Park,3,1,2,House,795,-38.3613121,144.7611918
"25 Gowrie Avenue, Frankston South VIC 3199",1.662362544,Frankston Park,Poor Park,4,2,1,House,750,-38.1625646,145.1178623
"8 Brownlee Crescent, Wheelers Hill VIC 3150",8.193585136,Churchill National Park,Average Park,3,2,4,House,710,-37.9148299,145.1703522
"8 Livingstone Road, Vermont South VIC 3133",6.716636922,Wattle Park,Poor Park,6,3,2,House,900,-37.8493153,145.1808569
"83/38 Kavanagh St, Southbank VIC 3006",0.789612186,Alexandra Gardens,Poor Park,2,1,0,House,740,-37.8238382,144.964246
"8 Bellevue Terrace, Pascoe Vale VIC 3044",6.536401233,Princes Park,Poor Park,4,3,4,House,800,-37.7312079,144.9313423
"52 Baxter-Tooradin Road, Baxter VIC 3911",2.552313094,BIG4 Mornington Peninsula Holiday Park - Frankston,Poor Park,4,2,2,House,750,-38.1945618,145.155231
"56 Elm Grove, Kew East VIC 3102",2.619494388,Yarra Flats Park,Poor Park,3,1,2,House,850,-37.7869466,145.0482144
"25 Glen Court, Glen Waverley VIC 3150",7.587296058,Wattle Park,Poor Park,4,2,2,House,850,-37.8821821,145.1718883
"7 Cameron Street, Cheltenham VIC 3192",9.011159893,Outer Circle Linear Park,Poor Park,3,1,1,House,720,-37.9688445,145.0581147
"17 Eagle Avenue, Kingsbury VIC 3083",4.899317307,Hayes Park,Poor Park,4,2,4,House,750,-37.7150932,145.0342662
"17 Brindabella Chase, Sanctuary Lakes VIC 3030",1.621382245,Point Cook Coastal Park,Poor Park,4,4,2,House,800,-37.90633,144.7655621
"147 East Boundary Road, Bentleigh East VIC 3165",3.967024888,Outer Circle Linear Park,Poor Park,5,2,3,House,750,-37.9223388,145.0584054
"132 Rachelle Road, Keilor East VIC 3033",7.227948907,Cairnlea Park,Poor Park,4,2,1,House,750,-37.7378089,144.8728623
"59-61 Cambridge Road, Mooroolbark VIC 3138",6.725712152,Lilydale Memorial Park,Poor Park,7,3,2,House,800,-37.791641,145.314925
"266 Church Road, Templestowe VIC 3106",2.87164132,Westerfolds Park,Good Park,4,2,2,House,850,-37.7720922,145.140856
"11 Sussex Street, Yarraville VIC 3013",5.509590562,Flagstaff Gardens,Poor Park,4,2,0,House,840,-37.8199978,144.8929479
"12 Champion Crescent, Glen Waverley VIC 3150",8.062495009,Wattle Park,Poor Park,4,2,3,House,790,-37.8726951,145.1865224
"1275 Pascoe Vale Road, Broadmeadows VIC 3047",12.71724498,Hayes Park,Poor Park,6,3,2,House,750,-37.6701431,144.9233379
"45 Pasco Street, Williamstown VIC 3016",1.131555021,Point Gellibrand Coastal Heritage Park,Average Park,3,2,0,House,750,-37.8616512,144.8993631
"12 Carambola Place, Berwick VIC 3806",5.741156141,Wilson Botanic Park Berwick,Good Park,5,3,2,House,895,-38.0765737,145.3572574
"44 Hansen Street, Altona North VIC 3025",3.82917823,Altona Memorial Park,Poor Park,4,3,2,House,875,-37.8366263,144.8653436
"1 Vulcan Grove, Williamstown VIC 3016",1.553631091,Point Gellibrand Coastal Heritage Park,Average Park,3,1,1,House,780,-37.8620875,144.8934737
"3 Matthew Retreat, Endeavour Hills VIC 3802",2.71517164,Lysterfield Park,Good Park,5,3,2,House,850,-37.9740066,145.2714945
"263 Drummond Street, Carlton VIC 3053",1.698840745,Flagstaff Gardens,Poor Park,2,1,0,House,775,-37.7997997,144.9682501
"1 Menin Road, Monbulk VIC 3793",7.85317605,Dandenong Ranges National Park,Good Park,5,2,2,House,750,-37.8762128,145.4054244
"161 Peel Street, Kew VIC 3101",1.24678027,Bellbird Park,Poor Park,2,1,4,House,795,-37.7976053,145.0341105
"11A Allison Rd, Mont Albert North VIC 3129",1.61579003,Minifie Park,Poor Park,3,2,2,House,725,-37.8064062,145.1143258
"12/350 New Street, Brighton VIC 3186",1.36922873,Elsternwick Park,Average Park,3,1,2,House,740,-37.9021683,144.9954065
"34 Springdale Rise, Highton VIC 3216",3.618288194,Barwon Valley Park,Average Park,4,3,2,House,775,-38.1668542,144.2965037
"1 Monash Street, Heidelberg Heights VIC 3081",2.86372716,Heide Park,Poor Park,3,2,2,House,750,-37.7467977,145.0531059
"88 Barmah Drive West, Wantirna VIC 3152",8.433750632,Kings Park,Poor Park,4,2,3,House,730,-37.8565927,145.2189377
"1 Shearer Drive, Rowville VIC 3178",1.989821435,Churchill National Park,Average Park,4,3,2,House,750,-37.9361256,145.2400554
"4A Browns Road, Clayton VIC 3168",5.639988572,Outer Circle Linear Park,Poor Park,5,3,4,House,750,-37.9159187,145.1278239
"1/50 Waterloo Crescent, St Kilda VIC 3182",0.948659135,St Kilda Botanical Gardens,Good Park,1,1,1,House,890,-37.8623768,144.9828069
"3 Keryn Close, Templestowe VIC 3106",2.53360727,Westerfolds Park,Good Park,4,2,2,House,750,-37.7618583,145.1564035
"17 Farmhouse Boulevard, Epping VIC 3076",14.5371151,Hayes Park,Poor Park,4,2,2,House,720,-37.6263284,145.016362
"232 Eramosa Road West, Moorooduc VIC 3933",0.404110806,Wilkira Park,Poor Park,3,3,0,House,800,-38.2171063,145.134115
"35A Nolan Street, Niddrie VIC 3042",8.084281625,Princes Park,Poor Park,3,2,2,House,750,-37.7413362,144.8878253
"26 Wilson Street, Torquay VIC 3228",3.187676665,Ocean Country Park,Poor Park,4,2,2,House,770,-38.3093049,144.3265976
"1/20 Myers Avenue, Glen Waverley VIC 3150",6.271361502,Wattle Park,Poor Park,3,2,2,House,790,-37.8757969,145.1590694
"24 Laluma Street, Essendon VIC 3040",6.250434804,Princes Park,Poor Park,3,2,2,House,750,-37.7512503,144.904493
"26 Suzana Place, Rowville VIC 3178",2.144905297,Churchill National Park,Average Park,4,2,2,House,730,-37.9324093,145.2518455
"15 Heysen Grove, Doncaster East VIC 3109",4.784408507,Westerfolds Park,Good Park,3,2,2,House,730,-37.7782297,145.1719229
"3 Kennedy Street, Keilor VIC 3036",5.49592289,Cairnlea Park,Poor Park,4,2,2,House,750,-37.7198805,144.8327283
"36 Nurten Parade, Aspendale Gardens VIC 3195",3.267339783,Riverend Park PTY Ltd.,Poor Park,3,2,2,House,780,-38.0242939,145.1204941
"6 Wensley Close, Mornington VIC 3931",0.777361541,Mornington Botanical Rose Gardens,Poor Park,3,2,2,House,800,-38.240235,145.0447768
"55 Croydon Hills Drive, Croydon Hills VIC 3136",7.777949801,Lilydale Memorial Park,Poor Park,4,2,2,House,830,-37.7714128,145.2668853
"16 Norfolk Street, Glen Waverley VIC 3150",6.360184641,Outer Circle Linear Park,Poor Park,6,4,2,House,900,-37.8984811,145.1449802
"11 Woodlands Grove, Mitcham VIC 3132",7.483220835,Wattle Park,Poor Park,4,2,2,House,850,-37.8234444,145.1887167
"439 Glenelg Highway, Smythes Creek VIC 3351",3.421413091,Morshead Park,Poor Park,5,3,8,House,725,-37.589434,143.7918871
"3/26 Wyalong Street, Albion VIC 3020",2.734673922,Cairnlea Park,Poor Park,4,3,3,House,750,-37.7773765,144.8167403
"24 Diamond Street, Niddrie VIC 3042",7.52695543,Princes Park,Poor Park,3,2,2,House,775,-37.7478868,144.8897485
"6/187 St Helena Road, Greensborough VIC 3088",5.578657697,Westerfolds Park,Good Park,3,2,2,House,750,-37.6977379,145.1210618
"2/434 Waverley Road, Mount Waverley VIC 3149",5.304273235,Outer Circle Linear Park,Poor Park,4,3,2,House,800,-37.8858649,145.1338948
"47 Seventh Avenue, Altona North VIC 3025",2.547770347,Altona Memorial Park,Poor Park,3,1,2,House,750,-37.8413317,144.8473939
"1 Waterways Boulevard, Williams Landing VIC 3027",4.933815768,Altona Green Park,Poor Park,4,3,2,House,720,-37.8576036,144.7401094
"7 Loraine Avenue, Box Hill North VIC 3129",2.023212847,Minifie Park,Poor Park,5,2,2,House,825,-37.8023791,145.1188424
"120 Green Street, Ivanhoe VIC 3079",1.385160661,Hayes Park,Poor Park,3,2,2,House,780,-37.7639007,145.0304721
"5 Union Street, Prahran VIC 3181",0.911157865,Grattan Gardens,Poor Park,3,1,1,House,850,-37.8533968,144.9841657
"246 Middleborough Rd, Blackburn South VIC 3130",2.678088149,Wattle Park,Poor Park,4,1,2,House,750,-37.8348877,145.1358076
"3 Banff Mews, Deanside VIC 3336",8.990068836,Cairnlea Park,Poor Park,5,3,2,House,710,-37.734222,144.6982481
"3 Dresden Drive, Waterways VIC 3195",3.338757181,Riverend Park PTY Ltd.,Poor Park,4,2,2,House,880,-38.0131548,145.1380361
"23 Ballard Street, Yarraville VIC 3013",4.330407476,Altona Memorial Park,Poor Park,3,2,2,House,740,-37.8141426,144.8682118
"26 Mayfield Drive, Mount Waverley VIC 3149",3.674048985,Outer Circle Linear Park,Poor Park,4,2,2,House,750,-37.886887,145.1153625
"1/1 Woodland Street Street, Doncaster VIC 3108",2.593207427,Bimbadeen Park,Poor Park,4,2,2,House,895,-37.7803796,145.1129357
"61 Tarrengower Street, Yarraville VIC 3013",5.740408145,Flagstaff Gardens,Poor Park,3,1,1,House,750,-37.8177171,144.8898039
"633 Nepean Highway, Brighton East VIC 3187",3.444307004,Elsternwick Park,Average Park,4,1,4,House,795,-37.9145885,145.0173966
"2314 EPPING-KILMORE ROAD, Upper Plenty VIC 3756",12.24281934,Whittlesea Park,Poor Park,4,2,5,House,830,-37.4397042,145.0209475
"18 Leonard Street, Hampton East VIC 3188",6.346751855,Elsternwick Park,Average Park,3,2,2,House,850,-37.9381463,145.032358
"24 Grampian Street, Preston VIC 3072",3.689293788,Hayes Park,Poor Park,2,1,1,House,720,-37.7338222,144.9873554
"77 Chi Avenue, Keysborough VIC 3173",4.15920647,Riverend Park PTY Ltd.,Poor Park,4,2,2,House,850,-38.0060558,145.1661195
"8 Peachwood Place, Croydon Hills VIC 3136",8.548920292,Lilydale Memorial Park,Poor Park,3,2,2,House,800,-37.7816073,145.2650338
"4 Tilley Street, Coburg North VIC 3058",4.501847644,Hayes Park,Poor Park,4,2,0,House,720,-37.7263838,144.9838927
"58 Gateshead Drive, Wantirna South VIC 3152",6.34000442,Kings Park,Poor Park,4,2,2,House,750,-37.8664252,145.2392785
"1 Harding Street, Portarlington VIC 3223",0.671009441,Bellarine Bayside Holiday Parks,Average Park,4,2,1,House,750,-38.114578,144.6517478
"2 Tanderum Drive, Coburg VIC 3058",4.605667779,Hayes Park,Poor Park,3,2,2,House,770,-37.737644,144.9710326
"7 Crawford Crescent, Wollert VIC 3750",15.18796325,Whittlesea Park,Poor Park,5,3,2,House,760,-37.6122553,145.0078662
"15 Byron Road, Kilsyth VIC 3137",8.448857115,Lilydale Memorial Park,Poor Park,4,2,2,House,800,-37.8054489,145.3058155
"70 Hickford Street, Brunswick East VIC 3057",2.373388316,Edinburgh Gardens,Poor Park,4,1,1,House,850,-37.7664473,144.9776527
"57 Morello Circle, Doncaster East VIC 3109",3.628423868,Westerfolds Park,Good Park,4,3,2,House,850,-37.7622075,145.1711998
"4 Gary Ct, Mount Martha VIC 3934",2.237688885,Mornington Botanical Rose Gardens,Poor Park,4,2,3,House,720,-38.2555992,145.0463801
"86 Mill Park Drive, Mill Park VIC 3082",9.013807628,Heide Park,Poor Park,4,2,2,House,760,-37.6774336,145.0612903
"331 Brunswick Road, Brunswick VIC 3056",1.14019061,Princes Park,Poor Park,3,1,0,House,900,-37.7761351,144.9548167
"20B Outlook Drive, Berwick VIC 3806",0.684782553,Wilson Botanic Park Berwick,Good Park,4,2,2,House,800,-38.0246636,145.3436595
"195 Munro Street, Coburg VIC 3058",4.747305892,Princes Park,Poor Park,3,2,1,House,800,-37.7433755,144.9492675
"8 Cloud Court, Eltham VIC 3095",5.637283096,Westerfolds Park,Good Park,4,2,2,House,760,-37.7012668,145.1633203
"28 Halliday Street, Mount Waverley VIC 3149",3.455594347,Outer Circle Linear Park,Poor Park,3,2,4,House,750,-37.8813253,145.1118037
"89 Main Street, Gembrook VIC 3783",20.57289768,Wilson Botanic Park Berwick,Good Park,3,2,2,House,750,-37.952777,145.5514839
"10 Delamere Close, Mulgrave VIC 3170",4.577992731,Churchill National Park,Average Park,4,3,2,House,780,-37.9338857,145.2041759
"53 St. Andrews Drive, Heatherton VIC 3202",7.77550533,Outer Circle Linear Park,Poor Park,4,3,2,House,730,-37.9583957,145.0811601
"11 Tylden Court, Mentone VIC 3194",9.048296068,Riverend Park PTY Ltd.,Poor Park,3,1,2,House,735,-37.9791885,145.0842849
"333 Highbury Road, Burwood VIC 3125",2.565183906,Wattle Park,Poor Park,5,2,2,House,800,-37.8564023,145.1238521
"6 Acheron Street, Epping VIC 3076",12.4079605,Hayes Park,Poor Park,5,2,2,House,750,-37.6458753,145.029249
"6 Oxley Close, Glen Waverley VIC 3150",8.478079138,Outer Circle Linear Park,Poor Park,3,2,2,House,710,-37.900281,145.1690629
"34 Park Drive, Keilor East VIC 3033",5.772000576,Cairnlea Park,Poor Park,4,2,4,House,730,-37.7472354,144.8591609
"269 Esplanade East, Port Melbourne VIC 3207",2.933595223,Alexandra Gardens,Poor Park,2,1,0,House,730,-37.8369422,144.9460812
"27 Ashbourne Rd, Woodend VIC 3442",5.741337257,Macedon Regional Park,Poor Park,4,2,3,House,780,-37.3626272,144.5184231
"17 Yarra Street, Clyde VIC 3978",11.17862067,Wilson Botanic Park Berwick,Good Park,4,2,2,House,750,-38.1275016,145.3232274
"6 Hartington Street, Elsternwick VIC 3185",1.429201023,Elsternwick Park,Average Park,3,2,2,House,890,-37.8913692,145.0098158
"44 Stretton Drive, Torquay VIC 3228",4.022871502,Torquay Foreshore Caravan Park,Poor Park,4,2,2,House,815,-38.3039496,144.3355323
"7 Osment Street, Armadale VIC 3143",1.967089718,Como House & Garden,Average Park,3,1,0,House,800,-37.8529656,145.0154726
"10 Pienza Road, Clyde VIC 3978",11.41258935,Wilson Botanic Park Berwick,Good Park,5,4,2,House,800,-38.1275819,145.3658402
"150 Grossmans Rd, Torquay VIC 3228",1.131678902,Ocean Country Park,Poor Park,3,2,2,House,850,-38.3190646,144.3030242
"11 Nelson Place, South Melbourne VIC 3205",2.494450763,Royal Botanic Gardens Victoria - Melbourne Gardens,Good Park,2,1,0,House,850,-37.8371575,144.9531282
"328 Rathdowne Street, Carlton North VIC 3054",1.051371677,Edinburgh Gardens,Poor Park,2,1,0,House,725,-37.7909548,144.9719289
"5 Donatello Road, Greenvale VIC 3059",10.84885401,Organ Pipes National Park,Average Park,4,2,2,House,750,-37.6297701,144.8794224
"55 Darvall Street, Donvale VIC 3111",6.996065878,Minifie Park,Poor Park,4,2,2,House,800,-37.802745,145.1756185
"34 Tennyson Street, Seddon VIC 3011",5.830656009,Flagstaff Gardens,Poor Park,3,1,0,House,740,-37.8073712,144.8882724
"47 Garnett Road, Wheelers Hill VIC 3150",6.206925255,Churchill National Park,Average Park,4,2,4,House,800,-37.9140713,145.1989631
"27 Higinbotham Street, Coburg VIC 3058",5.566979474,Princes Park,Poor Park,4,2,1,House,755,-37.7349867,144.9580388
"10 Devon Court, Mount Martha VIC 3934",5.66856378,Mornington Botanical Rose Gardens,Poor Park,5,2,2,House,750,-38.2811197,145.0217435
"77 Lambeth Street, Kensington VIC 3031",2.491450895,Princes Park,Poor Park,3,1,0,House,750,-37.791483,144.934243
"1/63 King Street, Airport West VIC 3042",8.821169381,Cairnlea Park,Poor Park,3,2,2,House,720,-37.72322,144.884579
"8 Kensington Ct, Greenvale VIC 3059",12.17886534,Organ Pipes National Park,Average Park,5,3,2,House,890,-37.659811,144.903767
"3/25 Emerald Street, Essendon West VIC 3040",7.613929627,Princes Park,Poor Park,3,2,2,House,740,-37.7519855,144.8854749
"3 Devon Court, Mount Martha VIC 3934",5.620811356,Mornington Botanical Rose Gardens,Poor Park,4,2,2,House,750,-38.2805382,145.0215119
"458 Barkly Street, Footscray VIC 3011",6.345803642,Flagstaff Gardens,Poor Park,3,1,2,House,725,-37.7978992,144.8840897
"36 Leeds Street, Doncaster East VIC 3109",5.108189419,Minifie Park,Poor Park,4,2,2,House,750,-37.7917241,145.1517332
"15 Kailash Road, Werribee VIC 3030",2.573230273,Werribee River Park,Poor Park,5,4,2,House,850,-37.9122905,144.647267
"1 Appleblossom Court, Viewbank VIC 3084",1.739990636,Heide Park,Poor Park,3,2,2,House,750,-37.7438091,145.0945823
"14 John William Drive, Mount Martha VIC 3934",1.688281691,Mornington Botanical Rose Gardens,Poor Park,4,2,4,House,880,-38.2505569,145.0569658
"6 Saxonwood Drive, Vermont South VIC 3133",5.872240252,Wattle Park,Poor Park,4,2,2,House,890,-37.8466947,145.1716696
Marysville VIC 3779,0.412095445,Marysville Holiday Park,Average Park,3,2,1,House,800,-37.5104329,145.7442759
"4 Garfield Street, Cheltenham VIC 3192",8.100800173,Outer Circle Linear Park,Poor Park,3,2,4,House,720,-37.9596361,145.0523767
"89 Stadium Circuit, Mulgrave VIC 3170",6.127767248,Churchill National Park,Average Park,4,2,2,House,850,-37.9275667,145.1884223
"86 Atkinson Street, Templestowe VIC 3106",1.098708145,Westerfolds Park,Good Park,4,2,5,House,850,-37.7546949,145.1275381
