Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"13 Opal Street, Cobblebank VIC 3338",2.77583894,Friends Of The Melton Botanic Garden,Poor Park,3,2,1,House,400,-37.7128011,144.5872072
"70 WILD DOG VALLEY ROAD, Leongatha VIC 3953",1.15846236,Mcindoe Park Playground,Poor Park,3,1,0,House,380,-38.4625537,145.9510783
"3/97 Vista Dve, Melton VIC 3337",1.44777027,Navan Park,Poor Park,2,1,1,House,320,-37.6832615,144.5726819
"4 Burgundy Drive, Wyndham Vale VIC 3024",0.837397514,Shoestring Gardening,Poor Park,3,1,2,House,400,-37.888688,144.6291696
"20 Tilton Street, Shepparton VIC 3630",0.731093957,Cudgee Park,Poor Park,3,1,1,House,390,-36.361154,145.3965945
"79 Victoria Street, Korumburra VIC 3950",12.75667685,Mcindoe Park Playground,Poor Park,2,1,0,House,380,-38.428185,145.8163657
"12 Robert Street, Morwell VIC 3840",0.550047775,MERA Community Park,Poor Park,3,1,3,House,350,-38.2207865,146.4244772
"5 Violet Grove, Wendouree VIC 3355",1.076014599,Pioneer Park,Poor Park,3,1,2,House,375,-37.5294042,143.8196029
"Room 5/32 - 34 Churchill Avenue, Flora Hill VIC 3550",1.666787386,Kennington Reservoir parkrun,Poor Park,1,1,1,House,165,-36.7730392,144.2925706
"3 Stephenson Street, Morwell VIC 3840",0.760654421,MERA Community Park,Poor Park,3,1,1,House,350,-38.224174,146.4220362
"32 Park Street, Wendouree VIC 3355",1.282189929,Ballarat Botanical Gardens,Good Park,3,1,2,House,380,-37.535821,143.8260503
"46/65 Mickleham Road, Tullamarine VIC 3043",10.09719434,Cairnlea Park,Poor Park,2,2,1,House,360,-37.6985376,144.8804551
"7 Head St, Wendouree VIC 3355",1.70962668,Ballarat Botanical Gardens,Good Park,3,1,1,House,370,-37.5367429,143.8360619
"87 Neale Street, Kennington VIC 3550",1.397764767,Civic Garden at Town Hall,Poor Park,2,1,1,House,390,-36.7684069,144.2939376
"15 Wyoming Avenue, Corio VIC 3214",1.510454869,Fountain of Friendship Park,Poor Park,3,1,0,House,380,-38.0822608,144.3495387
"36 Goldsworthy Road, Corio VIC 3214",2.187134451,Fountain of Friendship Park,Poor Park,3,1,1,House,370,-38.077727,144.3546966
"508 Gillies Street, Wendouree VIC 3355",0.400594283,Pioneer Park,Poor Park,3,1,1,House,395,-37.5225381,143.8259655
"47 King Street South, Ballarat East VIC 3350",0.654751212,Old Eastern Townhall Gardens,Poor Park,3,1,2,House,375,-37.5673251,143.8747855
"43 Wilsons Lane, Sebastopol VIC 3356",2.29800271,Morshead Park,Poor Park,3,1,1,House,350,-37.5970511,143.8420865
