Name,Address,Longitude,Latitude
Home Ballarat,"333 Gillies Street North, Wendouree",143.822405,-37.53449570000001
Eureka Homemaker Centre,Wendouree,143.8170658,-37.5339703
Midvale Shopping Centre,"1178 Geelong Road, Mount Clear",143.8678959,-37.6027865
Delacombe Town Centre,"315 Glenelg Highway, Smythes Creek",143.8048664,-37.5921971
Coltman Plaza - Lucas Shopping Centre,"6 Coltman Plaza, Lucas",143.7860122,-37.5435895
Strath Village,"134 Condon Street, Bendigo",144.3046886,-36.7746043
Bendigo Marketplace,"116-120 Mitchell Street, Bendigo",144.2801867,-36.7658329
Abbott Arcade,"7 Queen Street, Bendigo",144.2815312,-36.7607191
Backhaus Arcade,"314 Lyttleton Terrace, Bendigo",144.2815196,-36.76128750000001
Malama Lounge,"Shop 1/11 Lowndes Street, Kennington",144.298255,-36.76485799999999
Bendigo Showgrounds Market,"Holmes Road, North Bendigo",144.2706344,-36.7389005
Kennington Village,"150 Condon Street, Kennington",144.306372,-36.7750889
Lansell Square,"267 High Street, Kangaroo Flat",144.2424245,-36.8104086
Chinese Traditional Massage,"27/267 High Street, Kangaroo Flat",144.2424459,-36.8104546
Eco Laundry Room (Bendigo),"Lansell Square, Shop 159/267 High Street, Kangaroo Flat",144.2418881,-36.8104494
Epsom Village,"22 Howard Street, Epsom",144.3181873,-36.7044625
The Shopping District,"56 Lyttleton Street, Castlemaine",144.2185044,-37.065246
Baramul Emu Oil,"4 Hitchcock Street, Castlemaine",144.237192,-37.0750017
COLBINABBIN,"34 C345, Colbinabbin",144.7961113,-36.5904493
Westfield Fountain Gate,"25/55 Overland Drive, Narre Warren",145.3042624,-38.0175702
DFO Moorabbin,"250 Centre Dandenong Road, Moorabbin Airport",145.0888717,-37.9710583
Linen House Outlet Heatherton,"60 Corporate Drive, Heatherton",145.0822467,-37.9479721
Parkmore Shopping Centre,"317 Cheltenham Road, Keysborough",145.1730838,-37.9925747
Cranbourne Park Shopping Centre,"125 High Street, Cranbourne",145.2821866,-38.1089868
Casey Central,"400 Narre Warren - Cranbourne Road, Narre Warren South",145.3001416,-38.0671339
Westfield Southland,"1239 Nepean Highway, Cheltenham",145.0510807,-37.9584584
Sweet Tomato,"371-373 Clayton Road, Clayton",145.1190045,-37.9268891
Bentons Square Shopping Centre,"210 Dunns Road, Mornington",145.0476235,-38.2453305
Somerville Plaza,"17 Eramosa Road West, Somerville",145.1720021,-38.2241344
The Local Village @ Carrum Downs,"The Local Village, 1095 Frankston - Dandenong Road, Carrum Downs",145.1824093,-38.0886517
Shopping on Clyde,"280 Berwick-Cranbourne Road, Clyde",145.3204021,-38.1186575
Chelsea Beach Arcade,"426 Nepean Highway, Chelsea",145.1163329,-38.0537244
Springhill Shopping Centre,"Thompsons Rd & Narre Warren Rd, Cranbourne",145.2919291,-38.08492079999999
The Avenue Village Shopping Centre,"Cnr William Thwaites Boulevard & Thompsons Road, Cranbourne North",145.3172867,-38.08586089999999
Eden Rise Village,"1 O'Shea Road, Berwick",145.3395588,-38.0617778
Hampton Park Shopping Centre,"55 Hallam Road, Hampton Park",145.2656652,-38.0333904
Sabrina Constructions,"51-53 Nissan Drive, Dandenong South",145.222,-38.02137
Enigmaclean,"2 Apollo Drive, Hallam",145.2683945,-38.014152
Dandenong Square,"McCrae Street, Walker Street, Dandenong",145.2170233,-37.986908
Springvale Plaza Shopping Centre,"Heatherton Road, Springvale South",145.1431527,-37.9618704
Arena Shopping Centre,"Cardinia Road, Officer",145.4351754,-38.06449319999999
adidas Factory Outlet Moorabbin DFO,"250 Centre Dandenong Road, Moorabbin Airport",145.0893002,-37.9713402
Kingston Central Plaza,"288 Centre Dandenong Road, Moorabbin Airport",145.0917373,-37.9710725
The Heritage Shopping Centre,"1 Livingstone Boulevard, Pakenham",145.4722501,-38.0850096
Didgeridoonas,"31 Commercial Drive, Pakenham",145.484824,-38.094012
Pakenham Central Marketplace,"50, 54 John Street, Pakenham",145.484052,-38.0783925
Springvale Shopping Centre,"46-58 Buckingham Avenue, Springvale",145.1506542,-37.95041800000001
Bayside Centre,"28 Beach Street, Frankston",145.1245331,-38.1411014
Karingal Hub,"330 Cranbourne Road, Frankston",145.1659108,-38.15395609999999
Waverley Gardens Shopping Centre,"271 Police Road, Mulgrave",145.1891438,-37.9361331
Springvale Homemaker,"917 Princes Highway, Springvale",145.1438889,-37.92749999999999
M-City Shopping Centre,"2107/2125 Princes Highway, Clayton",145.1403919,-37.920929
Wellington Village Shopping Centre,"1100 Wellington Road, Rowville",145.2526281,-37.9284574
Endeavour Hills Shopping Centre,"Matthew Flinders Avenue, Endeavour Hills",145.2596227,-37.97681360000001
Dendy Village Pharmacy,"752 Hampton Street, Brighton",145.006224,-37.919049
LUISA Warehouse - Direct from Italy,"14/993 North Road, Murrumbeena",145.0691489,-37.9071589
Mornington Village Shopping Centre,"241 Main Street, Mornington",145.040799,-38.2237368
Oakleigh Central,"39 Hanover Street, Oakleigh",145.0905394,-37.9006215
Lynbrook Village Shopping Centre,"75 Lynbrook Boulevard, Lynbrook",145.2570006,-38.0517949
Mornington Central,"78 Barkly Street, Mornington",145.0400544,-38.21900369999999
Somerville Central,"49 Eramosa Road West, Somerville",145.1698061,-38.2242914
Frankston Power Centre,"111 Cranbourne Road, Frankston",145.1377466,-38.1480022
The Gateway,"230 Cranbourne-Frankston Road, Langwarrin",145.1961036,-38.1506616
Harbour Plaza,"21 Thompson Road, Patterson Lakes",145.1426458,-38.0681754
HomeCo. Cranbourne,"398 South Gippsland Highway, Cranbourne",145.2790204,-38.08445899999999
Wonthaggi Plaza,"2 Biggs Drive, Wonthaggi",145.5875053,-38.6038571
Bass Coast Plaza,"5 Biggs Drive, Wonthaggi",145.5890158,-38.6033035
Carrum Downs Regional Shopping Centre,"100 Hall Road, Carrum Downs",145.1842899,-38.10217239999999
Rosebud Plaza,"McCombe Street, Rosebud",144.8913632,-38.3615692
Stud Park Shopping Centre,"Stud Rd & Fulham Rd, Rowville",145.2364279,-37.9201134
Lakeside Square,"9 Village Way, Pakenham",145.4377704,-38.07248609999999
Lakeview Shopping Centre,"Shop 5 102/114 Gladesville Boulevard, Patterson Lakes",145.1434979,-38.0676691
Pakenham Place Shopping Centre,"67/79 Main Street, Pakenham",145.4787156,-38.0781319
Balnarring Village Shopping Centre,"3050 Frankston - Flinders Road, Balnarring",145.1252707,-38.37302869999999
Bitternfields Shopping Centre,"2432 Frankston - Flinders Road, Bittern",145.1771829,-38.3363764
Linen House Outlet Hastings,"70 High Street, Hastings",145.190298,-38.30758
M2M Gifts,"The Mens Shed, 14 Mornington-Tyabb Road, Tyabb",145.1854718,-38.25933360000001
Mount Martha Village Centre,"Shop 6/34-38 Lochiel Avenue, Mount Martha",145.0138185,-38.2671622
Bonaccorde,"42 Lochiel Avenue, Mount Martha",145.0138152,-38.2670155
Westfield Doncaster,"619 Doncaster Road, Doncaster",145.125484,-37.78689209999999
Greensborough Plaza,"25 Main Street, Greensborough",145.1031319,-37.7026269
South Melbourne Market,"322-326 Coventry Street, South Melbourne",144.9559391,-37.8320111
DFO Moorabbin,"250 Centre Dandenong Road, Moorabbin Airport",145.0888717,-37.9710583
DFO Essendon,"100 Bulla Road, Essendon Fields",144.908863,-37.7331429
Victoria Gardens Shopping Centre,"620 Victoria Street, Richmond",145.0116083,-37.8132375
The Jam Factory,"500 Chapel Street, South Yarra",144.995328,-37.8427394
