Price,Address,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude,geometry,index_right,STOP_ID,LATITUDE,STOP_NAME,LONGITUDE,TICKETZONE,ROUTEUSSP,distance_to_train,distance_to_cbd
$330 per week,"2/66 Curdie St, Cobden VIC 3266",2,1,1,House,330,-38.3278061,143.0736846,POINT (15926889.715589426 -4625837.88180572),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,167.935,200.826
$230 pw,"56 Burke Road, Malvern East VIC 3145",1,2,0,House,230,-37.8731509,145.0490582,POINT (16146787.298867902 -4561521.754747937),193,19943,-37.877459,Caulfield Railway Station (Caulfield East),145.042525,1,"Frankston,Pakenham,Cranbourne",1.055,14.652
$375 per week,"4/104 Alexandra Street, St Kilda East VIC 3183",1,1,1,House,375,-37.862382,145.0036888,POINT (16141736.800362306 -4560003.204454039),206,19956,-37.869488,Balaclava Railway Station (Balaclava),144.993512,1,Sandringham,2.15,8.549
$170 pw,"9 Mayfield Grove, Caulfield North VIC 3161",1,2,0,House,170,-37.86971860000001,145.0316282,POINT (16144847.000143375 -4561037.733198907),194,19944,-37.866253,Malvern Railway Station (Malvern),145.029294,1,Frankston,1.315,11.243
$400,"2 Renate Drive, Harkness VIC 3337",3,2,1,House,400,-37.662513,144.5697287,POINT (16093428.58300571 -4531859.310006844),76,15353,-37.627017,Diggers Rest Railway Station (Diggers Rest),144.719922,2,Sunbury,20.823,56.636
$400,"5565 Great Alpine Road, Ovens VIC 3738",2,2,0,House,400,-36.6167866,146.8079911,POINT (16342590.81363544 -4385825.541343212),126,19876,-37.755518,Lilydale Railway Station (Lilydale),145.34771,2,Lilydale,280.454,300.343
$350,"29 Merrett Street, Peterborough VIC 3270",2,1,3,House,350,-38.6030772,142.8643336,POINT (15903584.868872365 -4664974.218400297),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,209.111,242.001
$400,"1 Dorey Street, Peterborough VIC 3270",2,1,4,House,400,-38.6038627,142.8821131,POINT (15905564.073758923 -4665086.110143277),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,208.193,241.084
$370 Per Week,"134 Lockwood Road, Kangaroo Flat VIC 3555",2,1,1,House,370,-36.7979036,144.2277227,POINT (16055356.649237463 -4410974.467969857),75,15351,-37.579091,Sunbury Railway Station (Sunbury),144.727319,2,Sunbury,111.361,148.187
$400 per week,"33 Hawkesbury Road, Werribee VIC 3030",2,1,3,House,400,-37.8827903,144.6501515,POINT (16102381.208149875 -4562881.219624619),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,3.653,34.41
$380 weekly,"2/52a Forrest St, Albion VIC 3020",2,1,1,House,380,-37.7844547,144.8201687,POINT (16121307.436279977 -4549021.079971281),29,20004,-37.777653,Albion Railway Station (Sunshine North),144.824704,"1,2",Sunbury,2.02,14.566
$400 per week,"9 Julian Street, Werribee VIC 3030",3,1,2,House,400,-37.8910544,144.6557811,POINT (16103007.892355248 -4564046.864722353),171,19921,-37.899378,Werribee Railway Station (Werribee),144.661118,2,Werribee,1.178,34.037
